City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Pangkalanbuun,ID,-2.6833,111.6167,81.82,73,100,2.64,overcast clouds
327,Hasilpur,PK,29.7122,72.5553,70.79,44,0,10.56,clear sky
328,Marsh Harbour,BS,26.5412,-77.0636,78.37,75,2,12.19,clear sky
329,Clyde River,CA,70.4692,-68.5914,-3.77,77,0,19.57,clear sky
330,Isangel,VU,-19.55,169.2667,82.51,69,0,9.22,clear sky
331,Sept-Iles,CA,50.2001,-66.3821,26.6,79,75,8.05,broken clouds
332,Tucumcari,US,35.1717,-103.725,25.95,76,6,1.77,clear sky
333,Asasa,ET,7.1,39.2,55.31,64,2,6.22,clear sky
334,Itarema,BR,-2.9248,-39.9167,79.14,75,73,13.56,broken clouds
335,Luderitz,NA,-26.6481,15.1594,60.06,87,8,6.38,clear sky
336,Gazanjyk,TM,39.2446,55.5154,51.1,54,34,3.87,scattered clouds
337,Lata,PT,40.1629,-8.3327,61.81,94,100,8.59,overcast clouds
338,Sakai,JP,34.5833,135.4667,67.17,52,20,11.5,few clouds
339,Bilma,NE,18.6853,12.9164,61.97,31,13,10.0,few clouds
340,Bandarbeyla,SO,9.4942,50.8122,79.34,69,18,15.05,few clouds
341,Omsukchan,RU,62.5333,155.8,-9.42,85,78,5.77,broken clouds
342,Roebourne,AU,-20.7833,117.1333,85.12,39,34,14.18,scattered clouds
343,Fare,PF,-16.7,-151.0167,79.48,74,98,3.87,overcast clouds
344,Kismayo,SO,-0.3582,42.5454,81.25,74,85,6.62,overcast clouds
345,Oxelosund,SE,58.6706,17.1015,43.18,93,75,6.91,broken clouds
